t	u (m/s)	v (m/s)	Tair (°C)	Fsol (W/m2)	vap (mbar)	cloud coverage
16081.250378	0.255477	0.763971	2.894553	0.000000	7.294553	0.932534
16081.292047	0.403007	-0.285561	2.694530	1.054696	7.100000	0.936284
16081.333715	0.169100	-0.574539	2.900000	20.164754	7.300000	0.940034
16081.375383	-0.474388	0.176410	3.027570	61.205573	7.416542	0.943784
16081.417051	0.082783	-0.305296	3.922144	210.387525	7.700000	0.947535
16081.458719	-0.586241	-0.207615	5.388884	261.390035	8.300000	0.951285
16081.500388	0.091900	0.314088	6.883259	384.321425	8.583259	0.955035
16081.542056	-1.763021	0.195370	6.588795	193.534896	8.594397	0.958785
16081.583724	0.363677	0.943256	6.305625	89.325042	8.600000	0.962535
16081.625392	0.608907	0.641102	6.811294	24.887064	8.605647	0.966285
16081.667060	-1.188799	0.049924	6.482993	5.716553	8.600000	0.970035
16081.708729	1.259543	-1.083186	6.288618	0.000000	8.600000	0.973786
16081.750397	0.866143	-2.389124	6.482860	0.000000	8.500000	0.977536
16081.792065	0.185110	0.994064	4.794265	0.000000	8.100000	0.981286
16081.833733	0.395074	0.012949	4.988485	0.000000	8.200000	0.985036
16081.875401	0.721059	1.648319	5.794220	0.000000	8.494220	0.988786
16081.917070	-0.780351	0.199929	5.694198	0.058018	8.500000	0.992536
16081.958738	-0.175031	0.277637	5.405824	0.000000	8.594176	0.996286
16082.000406	0.059394	0.334424	5.870770	0.000000	8.494154	0.999988
16082.042074	0.555317	0.239068	3.905868	0.000000	7.900000	0.998738
16082.083742	0.820569	0.374476	3.317671	0.000000	7.600000	0.997488
16082.125411	0.700361	1.485023	2.429563	0.000000	7.200000	0.996238
16082.167079	-0.340439	-0.213933	2.276261	0.000000	7.088131	0.994988
16082.208747	0.409648	-0.453482	1.741698	0.000000	6.623827	0.993738
16082.250415	0.429244	0.243209	2.400000	1.000000	7.094021	0.992488
16082.292083	0.440688	0.378784	2.500000	1.060011	7.100000	0.991237
16082.333752	0.934484	0.259644	4.087953	35.638605	7.893977	0.989987
16082.375420	-0.276091	0.100462	4.500000	45.120908	7.800000	0.988737
16082.417088	0.433475	0.810603	5.093932	82.424728	8.193932	0.987487
16082.458756	0.688749	0.417785	5.900000	142.182691	8.287821	0.986237
16082.500424	1.169125	0.297280	6.206112	111.205462	7.793888	0.984987
16082.542093	0.795927	-0.553264	6.093866	77.877321	7.793866	0.983737
16082.583761	0.260360	-0.545304	6.000000	51.753755	7.793844	0.982487
16082.625429	0.774176	0.680727	5.887643	26.567522	7.593822	0.981237
16082.667097	1.313935	1.279181	5.406200	1.937996	7.306200	0.979987
16082.708765	0.805869	-0.138330	5.200000	0.000000	7.306223	0.978737
16082.750434	0.056072	-1.370396	4.993755	0.000000	7.393755	0.977487
16082.792102	0.764906	0.869266	4.706267	0.000000	7.206267	0.976237
16082.833770	0.316552	1.327203	4.493711	0.000000	7.100000	0.974987
16082.875438	0.166841	1.098514	4.193689	0.000000	6.906311	0.973737
16082.917106	1.074095	0.860974	4.012667	0.000000	6.906333	0.972487
16082.958775	0.881766	1.222179	3.993645	0.000000	6.993645	0.971237
16083.000443	-1.566501	-1.415227	3.793622	0.000000	6.900000	0.970013
16083.042111	-0.637164	0.222482	3.200000	1.000000	6.793600	0.971263
16083.083779	0.262268	1.178091	3.500000	0.000000	6.706422	0.972513
16083.125447	-1.285221	0.436945	3.187112	0.000000	6.706444	0.973763
16083.167116	-1.292129	0.046973	2.700000	0.000000	6.593534	0.975013
16083.208784	-1.745966	0.160077	2.493512	0.000000	6.500000	0.976264
16083.250452	-1.267399	0.554681	2.400000	0.000000	6.493490	0.977514
16083.292120	-1.435424	1.083250	2.106533	1.065326	6.400000	0.978764
16083.333789	-1.448156	-0.954640	1.893445	21.393283	6.393445	0.980014
16083.375457	-0.504561	-2.187840	1.586846	88.263074	6.200000	0.981264
16083.417125	-0.874000	-0.795194	1.813198	112.431482	6.406599	0.982514
16083.458793	-2.217161	-0.351570	2.213242	253.225946	6.406621	0.983764
16083.500461	-2.223950	-0.579354	3.406643	277.062927	6.593357	0.985014
16083.542130	-1.006252	-0.420929	4.113331	124.533419	6.613331	0.986264
16083.583798	-0.897321	0.891206	3.800000	68.665621	6.700000	0.987514
16083.625466	-0.146093	-0.390407	4.386581	24.396125	6.806710	0.988764
16083.667134	-2.046350	-0.500031	3.893268	1.932681	7.000000	0.990014
16083.708802	-0.653581	0.217484	3.806754	0.000000	7.193246	0.991264
16083.750471	-1.084867	-0.341886	4.000000	0.000000	7.493224	0.992514
16083.792139	-1.709964	-0.870523	4.393202	0.000000	7.400000	0.993764
16083.833807	0.696691	1.874732	4.206820	0.000000	7.506820	0.995014
16083.875475	-1.214375	0.264431	3.879472	0.000000	7.500000	0.996264
16083.917143	0.245578	0.767210	3.486271	0.000000	7.500000	0.997514
16083.958812	-0.366699	0.557947	3.320661	0.000000	7.500000	0.998764
16084.000480	0.309756	-0.533458	4.186182	0.000000	7.693091	0.999698
