t	z_ga	ga1
33106	0.227656	0.227656
33107	0.226886	0.226886
33108	0.226115	0.226115
33109	0.225345	0.225345
33110	0.224575	0.224575
33111	0.223804	0.223804
33112	0.223034	0.223034
33113	0.222264	0.222264
33114	0.221493	0.221493
33115	0.220723	0.220723
33116	0.219952	0.219952
33117	0.219182	0.219182
33118	0.218412	0.218412
33119	0.217641	0.217641
33120	0.216871	0.216871
33121	0.216101	0.216101
33122	0.215330	0.215330
33123	0.214560	0.214560
33124	0.213789	0.213789
33125	0.213019	0.213019
33126	0.212249	0.212249
33127	0.211478	0.211478
33128	0.210708	0.210708
33129	0.209272	0.209272
33130	0.207836	0.207836
33131	0.206400	0.206400
33132	0.204964	0.204964
33133	0.203528	0.203528
33134	0.202092	0.202092
33135	0.200656	0.200656
33136	0.199220	0.199220
33137	0.197784	0.197784
33138	0.196348	0.196348
33139	0.194912	0.194912
33140	0.193476	0.193476
33141	0.192040	0.192040
33142	0.190604	0.190604
33143	0.189168	0.189168
33144	0.187733	0.187733
33145	0.186297	0.186297
33146	0.184861	0.184861
33147	0.183425	0.183425
33148	0.181989	0.181989
33149	0.180553	0.180553
33150	0.179117	0.179117
33151	0.177681	0.177681
33152	0.176245	0.176245
33153	0.174809	0.174809
33154	0.173373	0.173373
33155	0.171937	0.171937
33156	0.170501	0.170501
33157	0.169065	0.169065
33158	0.167629	0.167629
33159	0.166193	0.166193
33160	0.164973	0.164973
33161	0.163753	0.163753
33162	0.162533	0.162533
33163	0.161313	0.161313
33164	0.160093	0.160093
33165	0.158873	0.158873
33166	0.157653	0.157653
33167	0.156433	0.156433
33168	0.155213	0.155213
33169	0.153993	0.153993
33170	0.152773	0.152773
33171	0.151553	0.151553
33172	0.150333	0.150333
33173	0.149113	0.149113
33174	0.147893	0.147893
33175	0.146673	0.146673
33176	0.145453	0.145453
33177	0.144233	0.144233
33178	0.143013	0.143013
33179	0.141793	0.141793
33180	0.140573	0.140573
33181	0.139353	0.139353
33182	0.138133	0.138133
33183	0.136913	0.136913
33184	0.135693	0.135693
33185	0.134473	0.134473
33186	0.133253	0.133253
33187	0.132033	0.132033
33188	0.130813	0.130813
33189	0.129593	0.129593
33190	0.131528	0.131528
33191	0.133463	0.133463
33192	0.135398	0.135398
33193	0.137333	0.137333
33194	0.139268	0.139268
33195	0.141203	0.141203
33196	0.143138	0.143138
33197	0.145072	0.145072
33198	0.147007	0.147007
33199	0.148942	0.148942
33200	0.150877	0.150877
33201	0.152812	0.152812
33202	0.154747	0.154747
33203	0.156682	0.156682
33204	0.158617	0.158617
33205	0.160552	0.160552
33206	0.162487	0.162487
33207	0.164422	0.164422
33208	0.166357	0.166357
33209	0.168292	0.168292
33210	0.170227	0.170227
33211	0.172161	0.172161
33212	0.174096	0.174096
33213	0.176031	0.176031
33214	0.177966	0.177966
33215	0.179901	0.179901
33216	0.181836	0.181836
33217	0.183771	0.183771
33218	0.185706	0.185706
33219	0.185742	0.185742
33220	0.185777	0.185777
33221	0.185813	0.185813
33222	0.185848	0.185848
33223	0.185884	0.185884
33224	0.185920	0.185920
33225	0.185955	0.185955
33226	0.185991	0.185991
33227	0.186026	0.186026
33228	0.186062	0.186062
33229	0.186098	0.186098
33230	0.186133	0.186133
33231	0.186169	0.186169
33232	0.186205	0.186205
33233	0.186240	0.186240
33234	0.186276	0.186276
33235	0.186311	0.186311
33236	0.186347	0.186347
33237	0.186383	0.186383
33238	0.186418	0.186418
33239	0.186454	0.186454
33240	0.186489	0.186489
33241	0.186525	0.186525
33242	0.186561	0.186561
33243	0.186596	0.186596
33244	0.186632	0.186632
33245	0.186668	0.186668
33246	0.186703	0.186703
33247	0.186739	0.186739
33248	0.186774	0.186774
33249	0.186810	0.186810
33250	0.186846	0.186846
33251	0.186881	0.186881
33252	0.186917	0.186917
33253	0.186952	0.186952
33254	0.186988	0.186988
33255	0.187130	0.187130
33256	0.187272	0.187272
33257	0.187415	0.187415
33258	0.187557	0.187557
33259	0.187699	0.187699
33260	0.187841	0.187841
33261	0.187983	0.187983
33262	0.188126	0.188126
33263	0.188268	0.188268
33264	0.188410	0.188410
33265	0.188552	0.188552
33266	0.188695	0.188695
33267	0.188837	0.188837
33268	0.188979	0.188979
33269	0.189121	0.189121
33270	0.189263	0.189263
33271	0.189406	0.189406
33272	0.189548	0.189548
33273	0.189690	0.189690
33274	0.189832	0.189832
33275	0.189974	0.189974
33276	0.190117	0.190117
33277	0.190259	0.190259
33278	0.190401	0.190401
33279	0.190543	0.190543
33280	0.190686	0.190686
33281	0.190828	0.190828
33282	0.190970	0.190970
33283	0.191112	0.191112
33284	0.191254	0.191254
33285	0.191397	0.191397
33286	0.191539	0.191539
33287	0.191681	0.191681
33288	0.193153	0.193153
33289	0.194625	0.194625
33290	0.196096	0.196096
33291	0.197568	0.197568
33292	0.199040	0.199040
33293	0.200512	0.200512
33294	0.201984	0.201984
33295	0.203455	0.203455
33296	0.204927	0.204927
33297	0.206399	0.206399
33298	0.207871	0.207871
33299	0.209343	0.209343
33300	0.210814	0.210814
33301	0.212286	0.212286
33302	0.213758	0.213758
33303	0.215230	0.215230
33304	0.216701	0.216701
33305	0.218173	0.218173
33306	0.219645	0.219645
33307	0.221117	0.221117
33308	0.222589	0.222589
33309	0.224060	0.224060
33310	0.225532	0.225532
33311	0.227004	0.227004
33312	0.228476	0.228476
33313	0.229948	0.229948
33314	0.231419	0.231419
33315	0.232891	0.232891
33316	0.234363	0.234363
33317	0.235547	0.235547
33318	0.236731	0.236731
33319	0.237915	0.237915
33320	0.239099	0.239099
33321	0.240283	0.240283
33322	0.241467	0.241467
33323	0.242650	0.242650
33324	0.243834	0.243834
33325	0.245018	0.245018
33326	0.246202	0.246202
33327	0.247386	0.247386
33328	0.248570	0.248570
33329	0.249754	0.249754
33330	0.250938	0.250938
33331	0.252122	0.252122
33332	0.253306	0.253306
33333	0.254490	0.254490
33334	0.255674	0.255674
33335	0.256858	0.256858
33336	0.258042	0.258042
33337	0.259225	0.259225
33338	0.260409	0.260409
33339	0.261593	0.261593
33340	0.262777	0.262777
33341	0.263961	0.263961
33342	0.265145	0.265145
33343	0.266329	0.266329
33344	0.264764	0.264764
33345	0.263199	0.263199
33346	0.261635	0.261635
33347	0.260070	0.260070
33348	0.258505	0.258505
33349	0.256940	0.256940
33350	0.255376	0.255376
33351	0.253811	0.253811
33352	0.252246	0.252246
33353	0.250681	0.250681
33354	0.249117	0.249117
33355	0.247552	0.247552
33356	0.245987	0.245987
33357	0.244422	0.244422
33358	0.242858	0.242858
33359	0.241293	0.241293
33360	0.239728	0.239728
33361	0.238163	0.238163
33362	0.236598	0.236598
33363	0.235034	0.235034
33364	0.233469	0.233469
33365	0.231904	0.231904
33366	0.230339	0.230339
33367	0.228775	0.228775
33368	0.227210	0.227210
33369	0.225645	0.225645
33370	0.224080	0.224080
33371	0.222516	0.222516
33372	0.220951	0.220951
33373	0.219386	0.219386
33374	0.220850	0.220850
33375	0.222313	0.222313
33376	0.223777	0.223777
33377	0.225240	0.225240
33378	0.226704	0.226704
33379	0.228167	0.228167
33380	0.229631	0.229631
33381	0.231094	0.231094
33382	0.232558	0.232558
33383	0.234021	0.234021
33384	0.235485	0.235485
33385	0.236949	0.236949
33386	0.238412	0.238412
33387	0.239876	0.239876
33388	0.241339	0.241339
33389	0.242803	0.242803
33390	0.244266	0.244266
33391	0.245730	0.245730
33392	0.247193	0.247193
33393	0.248657	0.248657
33394	0.250121	0.250121
33395	0.251584	0.251584
33396	0.253048	0.253048
33397	0.254511	0.254511
33398	0.255975	0.255975
33399	0.257438	0.257438
33400	0.258902	0.258902
33401	0.260365	0.260365
33402	0.261829	0.261829
33403	0.263292	0.263292
33404	0.264756	0.264756
33405	0.265732	0.265732
33406	0.266709	0.266709
33407	0.267685	0.267685
33408	0.268662	0.268662
33409	0.269638	0.269638
33410	0.270615	0.270615
33411	0.271591	0.271591
33412	0.272568	0.272568
33413	0.273544	0.273544
33414	0.274521	0.274521
33415	0.275497	0.275497
33416	0.276474	0.276474
33417	0.277450	0.277450
33418	0.278427	0.278427
33419	0.279403	0.279403
33420	0.280380	0.280380
33421	0.281356	0.281356
33422	0.282333	0.282333
33423	0.283309	0.283309
33424	0.284286	0.284286
33425	0.285262	0.285262
33426	0.286239	0.286239
33427	0.287215	0.287215
33428	0.288192	0.288192
33429	0.289168	0.289168
33430	0.290145	0.290145
33431	0.291121	0.291121
33432	0.292098	0.292098
33433	0.293074	0.293074
33434	0.291099	0.291099
33435	0.289124	0.289124
33436	0.287149	0.287149
33437	0.285173	0.285173
33438	0.283198	0.283198
33439	0.281223	0.281223
33440	0.279248	0.279248
33441	0.277273	0.277273
33442	0.275297	0.275297
33443	0.273322	0.273322
33444	0.271347	0.271347
33445	0.269372	0.269372
33446	0.267397	0.267397
33447	0.265422	0.265422
33448	0.263447	0.263447
33449	0.261471	0.261471
33450	0.259496	0.259496
33451	0.257521	0.257521
33452	0.255546	0.255546
33453	0.253571	0.253571
33454	0.251596	0.251596
33455	0.249620	0.249620
33456	0.247645	0.247645
33457	0.245670	0.245670
33458	0.243695	0.243695
33459	0.241720	0.241720
33460	0.239745	0.239745
33461	0.237769	0.237769
33462	0.235794	0.235794
33463	0.233819	0.233819
33464	0.233049	0.233049
33465	0.232278	0.232278
33466	0.231508	0.231508
33467	0.230738	0.230738
33468	0.229967	0.229967
33469	0.229197	0.229197
33470	0.228426	0.228426
33471	0.227656	0.227656
33472	0.226886	0.226886
33473	0.226115	0.226115
33474	0.225345	0.225345
33475	0.224575	0.224575
33476	0.223804	0.223804
33477	0.223034	0.223034
33478	0.222264	0.222264
33479	0.221493	0.221493
33480	0.220723	0.220723
33481	0.219952	0.219952
33482	0.219182	0.219182
33483	0.218412	0.218412
33484	0.217641	0.217641
33485	0.216871	0.216871
33486	0.216101	0.216101
33487	0.215330	0.215330
33488	0.214560	0.214560
33489	0.213789	0.213789
33490	0.213019	0.213019
33491	0.212249	0.212249
33492	0.211478	0.211478
33493	0.210708	0.210708
33494	0.209272	0.209272
33495	0.207836	0.207836
33496	0.206400	0.206400
33497	0.204964	0.204964
33498	0.203528	0.203528
33499	0.202092	0.202092
33500	0.200656	0.200656
33501	0.199220	0.199220
33502	0.197784	0.197784
33503	0.196348	0.196348
33504	0.194912	0.194912
33505	0.193476	0.193476
33506	0.192040	0.192040
33507	0.190604	0.190604
33508	0.189168	0.189168
33509	0.187733	0.187733
33510	0.186297	0.186297
33511	0.184861	0.184861
33512	0.183425	0.183425
33513	0.181989	0.181989
33514	0.180553	0.180553
33515	0.179117	0.179117
33516	0.177681	0.177681
33517	0.176245	0.176245
33518	0.174809	0.174809
33519	0.173373	0.173373
33520	0.171937	0.171937
33521	0.170501	0.170501
33522	0.169065	0.169065
33523	0.167629	0.167629
33524	0.166193	0.166193
33525	0.164973	0.164973
33526	0.163753	0.163753
33527	0.162533	0.162533
33528	0.161313	0.161313
33529	0.160093	0.160093
33530	0.158873	0.158873
33531	0.157653	0.157653
33532	0.156433	0.156433
33533	0.155213	0.155213
33534	0.153993	0.153993
33535	0.152773	0.152773
33536	0.151553	0.151553
33537	0.150333	0.150333
33538	0.149113	0.149113
33539	0.147893	0.147893
33540	0.146673	0.146673
33541	0.145453	0.145453
33542	0.144233	0.144233
33543	0.143013	0.143013
33544	0.141793	0.141793
33545	0.140573	0.140573
33546	0.139353	0.139353
33547	0.138133	0.138133
33548	0.136913	0.136913
33549	0.135693	0.135693
33550	0.134473	0.134473
33551	0.133253	0.133253
33552	0.132033	0.132033
33553	0.130813	0.130813
33554	0.129593	0.129593
33555	0.131528	0.131528
33556	0.133463	0.133463
33557	0.135398	0.135398
33558	0.137333	0.137333
33559	0.139268	0.139268
33560	0.141203	0.141203
33561	0.143138	0.143138
33562	0.145072	0.145072
33563	0.147007	0.147007
33564	0.148942	0.148942
33565	0.150877	0.150877
33566	0.152812	0.152812
33567	0.154747	0.154747
33568	0.156682	0.156682
33569	0.158617	0.158617
33570	0.160552	0.160552
33571	0.162487	0.162487
33572	0.164422	0.164422
33573	0.166357	0.166357
33574	0.168292	0.168292
33575	0.170227	0.170227
33576	0.172161	0.172161
33577	0.174096	0.174096
33578	0.176031	0.176031
33579	0.177966	0.177966
33580	0.179901	0.179901
33581	0.181836	0.181836
33582	0.183771	0.183771
33583	0.185706	0.185706
33584	0.185742	0.185742
33585	0.185777	0.185777
33586	0.185813	0.185813
33587	0.185848	0.185848
33588	0.185884	0.185884
33589	0.185920	0.185920
33590	0.185955	0.185955
33591	0.185991	0.185991
33592	0.186026	0.186026
33593	0.186062	0.186062
33594	0.186098	0.186098
