t	z_ga	ga1
39152	0.278351	0.278351
39153	0.285953	0.285953
39154	0.293983	0.293983
39155	0.302476	0.302476
39156	0.311475	0.311475
39157	0.313926	0.313926
39158	0.316416	0.316416
39159	0.318945	0.318945
39160	0.321515	0.321515
39161	0.324127	0.324127
39162	0.326781	0.326781
39163	0.329480	0.329480
39164	0.332223	0.332223
39165	0.335013	0.335013
39166	0.337849	0.337849
39167	0.340734	0.340734
39168	0.343669	0.343669
39169	0.346655	0.346655
39170	0.349693	0.349693
39171	0.352785	0.352785
39172	0.355932	0.355932
39173	0.359136	0.359136
39174	0.362398	0.362398
39175	0.365720	0.365720
39176	0.369103	0.369103
39177	0.372549	0.372549
39178	0.376060	0.376060
39179	0.379638	0.379638
39180	0.383285	0.383285
39181	0.387003	0.387003
39182	0.390793	0.390793
39183	0.394659	0.394659
39184	0.398601	0.398601
39185	0.402624	0.402624
39186	0.406728	0.406728
39187	0.410917	0.410917
39188	0.415193	0.415193
39189	0.419558	0.419558
39190	0.424017	0.424017
39191	0.428571	0.428571
39192	0.433225	0.433225
39193	0.437980	0.437980
39194	0.442841	0.442841
39195	0.447811	0.447811
39196	0.452894	0.452894
39197	0.458094	0.458094
39198	0.463415	0.463415
39199	0.424797	0.424797
39200	0.392120	0.392120
39201	0.364111	0.364111
39202	0.339837	0.339837
39203	0.318598	0.318598
39204	0.299857	0.299857
39205	0.283198	0.283198
39206	0.268293	0.268293
39207	0.254878	0.254878
39208	0.242741	0.242741
39209	0.231707	0.231707
39210	0.221633	0.221633
39211	0.212398	0.212398
39212	0.203902	0.203902
39213	0.196060	0.196060
39214	0.188799	0.188799
39215	0.182056	0.182056
39216	0.175778	0.175778
39217	0.169919	0.169919
39218	0.164437	0.164437
39219	0.159299	0.159299
39220	0.154472	0.154472
39221	0.157676	0.157676
39222	0.161017	0.161017
39223	0.164502	0.164502
39224	0.168142	0.168142
39225	0.171946	0.171946
39226	0.175926	0.175926
39227	0.180095	0.180095
39228	0.184466	0.184466
39229	0.189055	0.189055
39230	0.193878	0.193878
39231	0.198953	0.198953
39232	0.204301	0.204301
39233	0.209945	0.209945
39234	0.215909	0.215909
39235	0.222222	0.222222
39236	0.228916	0.228916
39237	0.236025	0.236025
39238	0.243590	0.243590
39239	0.251656	0.251656
39240	0.260274	0.260274
39241	0.269504	0.269504
39242	0.279412	0.279412
39243	0.290076	0.290076
39244	0.301587	0.301587
39245	0.314050	0.314050
39246	0.327586	0.327586
39247	0.342342	0.342342
39248	0.358491	0.358491
39249	0.351155	0.351155
39250	0.344114	0.344114
39251	0.337349	0.337349
39252	0.330846	0.330846
39253	0.324588	0.324588
39254	0.318563	0.318563
39255	0.312757	0.312757
39256	0.307159	0.307159
39257	0.301758	0.301758
39258	0.296544	0.296544
39259	0.291507	0.291507
39260	0.286638	0.286638
39261	0.281929	0.281929
39262	0.277372	0.277372
39263	0.272960	0.272960
39264	0.268687	0.268687
39265	0.264545	0.264545
39266	0.260529	0.260529
39267	0.256633	0.256633
39268	0.252852	0.252852
39269	0.249180	0.249180
39270	0.245614	0.245614
39271	0.242148	0.242148
39272	0.238779	0.238779
39273	0.235502	0.235502
39274	0.232314	0.232314
39275	0.229212	0.229212
39276	0.226190	0.226190
39277	0.228522	0.228522
39278	0.230903	0.230903
39279	0.233333	0.233333
39280	0.235816	0.235816
39281	0.238351	0.238351
39282	0.240942	0.240942
39283	0.243590	0.243590
39284	0.246296	0.246296
39285	0.249064	0.249064
39286	0.251894	0.251894
39287	0.254789	0.254789
39288	0.257752	0.257752
39289	0.260784	0.260784
39290	0.263889	0.263889
39291	0.267068	0.267068
39292	0.270325	0.270325
39293	0.273663	0.273663
39294	0.277083	0.277083
39295	0.280591	0.280591
39296	0.284188	0.284188
39297	0.287879	0.287879
39298	0.291667	0.291667
39299	0.295556	0.295556
39300	0.299550	0.299550
39301	0.303653	0.303653
39302	0.307870	0.307870
39303	0.312207	0.312207
39304	0.316667	0.316667
39305	0.321256	0.321256
39306	0.325980	0.325980
39307	0.330846	0.330846
39308	0.335859	0.335859
39309	0.341026	0.341026
39310	0.346354	0.346354
39311	0.351852	0.351852
39312	0.348033	0.348033
39313	0.344295	0.344295
39314	0.340637	0.340637
39315	0.337057	0.337057
39316	0.333550	0.333550
39317	0.330116	0.330116
39318	0.326752	0.326752
39319	0.323455	0.323455
39320	0.320225	0.320225
39321	0.317058	0.317058
39322	0.313953	0.313953
39323	0.310909	0.310909
39324	0.307923	0.307923
39325	0.304994	0.304994
39326	0.302120	0.302120
39327	0.299300	0.299300
39328	0.296532	0.296532
39329	0.293814	0.293814
39330	0.291146	0.291146
39331	0.288526	0.288526
39332	0.285953	0.285953
39333	0.283425	0.283425
39334	0.280942	0.280942
39335	0.278502	0.278502
39336	0.276103	0.276103
39337	0.273746	0.273746
39338	0.271429	0.271429
39339	0.269677	0.269677
39340	0.267949	0.267949
39341	0.266242	0.266242
39342	0.264557	0.264557
39343	0.262893	0.262893
39344	0.261250	0.261250
39345	0.259627	0.259627
39346	0.258025	0.258025
39347	0.256442	0.256442
39348	0.254878	0.254878
39349	0.253333	0.253333
39350	0.251807	0.251807
39351	0.250299	0.250299
39352	0.248810	0.248810
39353	0.247337	0.247337
39354	0.245882	0.245882
39355	0.244444	0.244444
39356	0.243023	0.243023
39357	0.241618	0.241618
39358	0.240230	0.240230
39359	0.238857	0.238857
39360	0.237500	0.237500
39361	0.236158	0.236158
39362	0.234831	0.234831
39363	0.233520	0.233520
39364	0.232222	0.232222
39365	0.230939	0.230939
39366	0.229670	0.229670
39367	0.228415	0.228415
39368	0.227174	0.227174
39369	0.225946	0.225946
39370	0.224731	0.224731
39371	0.223529	0.223529
39372	0.220077	0.220077
39373	0.216730	0.216730
39374	0.213483	0.213483
39375	0.210332	0.210332
39376	0.207273	0.207273
39377	0.204301	0.204301
39378	0.201413	0.201413
39379	0.198606	0.198606
39380	0.195876	0.195876
39381	0.193220	0.193220
39382	0.190635	0.190635
39383	0.188119	0.188119
39384	0.185668	0.185668
39385	0.183280	0.183280
39386	0.180952	0.180952
39387	0.178683	0.178683
39388	0.176471	0.176471
39389	0.174312	0.174312
39390	0.172205	0.172205
39391	0.170149	0.170149
39392	0.168142	0.168142
39393	0.166181	0.166181
39394	0.164265	0.164265
39395	0.162393	0.162393
39396	0.160563	0.160563
39397	0.158774	0.158774
39398	0.157025	0.157025
39399	0.155313	0.155313
39400	0.153639	0.153639
39401	0.152000	0.152000
39402	0.152725	0.152725
39403	0.153458	0.153458
39404	0.154197	0.154197
39405	0.154944	0.154944
39406	0.155698	0.155698
39407	0.156459	0.156459
39408	0.157228	0.157228
39409	0.158004	0.158004
39410	0.158788	0.158788
39411	0.159580	0.159580
39412	0.160380	0.160380
39413	0.161188	0.161188
39414	0.162004	0.162004
39415	0.162828	0.162828
39416	0.163661	0.163661
39417	0.164502	0.164502
39418	0.165352	0.165352
39419	0.166211	0.166211
39420	0.167079	0.167079
39421	0.167956	0.167956
39422	0.168842	0.168842
39423	0.169738	0.169738
39424	0.170643	0.170643
39425	0.171558	0.171558
39426	0.172482	0.172482
39427	0.173417	0.173417
39428	0.174362	0.174362
39429	0.175317	0.175317
39430	0.176283	0.176283
39431	0.177259	0.177259
39432	0.178247	0.178247
39433	0.179245	0.179245
39434	0.180255	0.180255
39435	0.181276	0.181276
39436	0.182309	0.182309
39437	0.183353	0.183353
39438	0.184410	0.184410
39439	0.185479	0.185479
39440	0.186560	0.186560
39441	0.187654	0.187654
39442	0.188761	0.188761
